"rank","freq","name","rho","thinning"
"1",0.272727272727273,"X3",0,"draws"
"2",0.272727272727273,"X3",0,"draws"
"3",0.0909090909090909,"X3",0,"draws"
"5",0.363636363636364,"X3",0,"draws"
"1",0.0909090909090909,"X1",0,"draws"
"2",0.181818181818182,"X1",0,"draws"
"3",0.545454545454545,"X1",0,"draws"
"4",0.0909090909090909,"X1",0,"draws"
"5",0.0909090909090909,"X1",0,"draws"
"1",0.0909090909090909,"X5",0,"draws"
"2",0.0909090909090909,"X5",0,"draws"
"3",0.272727272727273,"X5",0,"draws"
"4",0.545454545454545,"X5",0,"draws"
"1",0.454545454545455,"X4",0,"draws"
"2",0.272727272727273,"X4",0,"draws"
"4",0.0909090909090909,"X4",0,"draws"
"5",0.181818181818182,"X4",0,"draws"
"1",0.0909090909090909,"X2",0,"draws"
"2",0.181818181818182,"X2",0,"draws"
"3",0.0909090909090909,"X2",0,"draws"
"4",0.272727272727273,"X2",0,"draws"
"5",0.363636363636364,"X2",0,"draws"
"6",0.0909090909090909,"X13",0,"draws"
"10",0.181818181818182,"X13",0,"draws"
"11",0.0909090909090909,"X13",0,"draws"
"12",0.0909090909090909,"X13",0,"draws"
"14",0.0909090909090909,"X13",0,"draws"
"17",0.0909090909090909,"X13",0,"draws"
"18",0.0909090909090909,"X13",0,"draws"
"40",0.0909090909090909,"X13",0,"draws"
"45",0.0909090909090909,"X13",0,"draws"
"69",0.0909090909090909,"X13",0,"draws"
"7",0.363636363636364,"X6",0,"draws"
"8",0.0909090909090909,"X6",0,"draws"
"9",0.181818181818182,"X6",0,"draws"
"10",0.181818181818182,"X6",0,"draws"
"11",0.181818181818182,"X6",0,"draws"
"6",0.272727272727273,"X9",0,"draws"
"8",0.272727272727273,"X9",0,"draws"
"9",0.181818181818182,"X9",0,"draws"
"10",0.181818181818182,"X9",0,"draws"
"11",0.0909090909090909,"X9",0,"draws"
"6",0.272727272727273,"X7",0,"draws"
"7",0.181818181818182,"X7",0,"draws"
"8",0.181818181818182,"X7",0,"draws"
"9",0.363636363636364,"X7",0,"draws"
"6",0.272727272727273,"X10",0,"draws"
"7",0.272727272727273,"X10",0,"draws"
"8",0.0909090909090909,"X10",0,"draws"
"10",0.272727272727273,"X10",0,"draws"
"11",0.0909090909090909,"X10",0,"draws"
"6",0.0909090909090909,"X8",0,"draws"
"7",0.181818181818182,"X8",0,"draws"
"8",0.272727272727273,"X8",0,"draws"
"9",0.0909090909090909,"X8",0,"draws"
"10",0.0909090909090909,"X8",0,"draws"
"11",0.181818181818182,"X8",0,"draws"
"12",0.0909090909090909,"X8",0,"draws"
"9",0.0909090909090909,"X14",0,"draws"
"11",0.0909090909090909,"X14",0,"draws"
"12",0.0909090909090909,"X14",0,"draws"
"17",0.0909090909090909,"X14",0,"draws"
"19",0.0909090909090909,"X14",0,"draws"
"21",0.0909090909090909,"X14",0,"draws"
"43",0.0909090909090909,"X14",0,"draws"
"47",0.0909090909090909,"X14",0,"draws"
"56",0.0909090909090909,"X14",0,"draws"
"78",0.0909090909090909,"X14",0,"draws"
"82",0.0909090909090909,"X14",0,"draws"
"13",0.0909090909090909,"X35",0,"draws"
"26",0.0909090909090909,"X35",0,"draws"
"31",0.0909090909090909,"X35",0,"draws"
"32",0.0909090909090909,"X35",0,"draws"
"35",0.0909090909090909,"X35",0,"draws"
"39",0.0909090909090909,"X35",0,"draws"
"42",0.0909090909090909,"X35",0,"draws"
"44",0.0909090909090909,"X35",0,"draws"
"47",0.0909090909090909,"X35",0,"draws"
